,City,Date,Country,Cloudiness,Max_temp,Pressure,Humidity,lng,lat,wind_speed
182,Ürümqi,2021-10-22 02:04:48,CN,0,41.95,1018,53,87.6005,43.801,2.24
183,Mahon,2021-10-22 02:04:48,ES,20,66.76,1016,68,4.2658,39.8885,12.66
184,Geraldton,2021-10-22 02:04:48,AU,0,72.12,1024,43,114.6,-28.7667,14.97
185,Obo,2021-10-22 02:04:49,CF,100,66.76,1012,99,26.4869,5.3998,3.49
186,Devonport,2021-10-22 02:04:49,AU,100,64.09,1016,91,146.35,-41.1667,10.45
187,Port Macquarie,2021-10-22 02:00:11,AU,12,74.89,1015,65,152.9167,-31.4333,7.96
188,Synya,2021-10-22 02:04:50,RU,100,28.15,988,94,58.0387,65.3718,8.59
189,Puksoozero,2021-10-22 02:04:50,RU,100,37.49,978,100,40.6066,62.5903,4.97
190,Taft,2021-10-22 02:04:50,IR,0,48.72,1025,62,54.2088,31.7471,3.6
191,Jalu,2021-10-22 02:04:51,LY,0,67.87,1021,47,21.5482,29.0331,6.55
192,Misratah,2021-10-22 02:04:51,LY,79,72.86,1019,75,15.0925,32.3754,14.23
193,Mount Isa,2021-10-22 02:04:52,AU,0,96.57,1012,26,139.5,-20.7333,5.75
194,Luanda,2021-10-22 02:00:08,AO,81,75.56,1011,81,13.2343,-8.8368,4.97
195,Jiayuguan City,2021-10-22 02:04:52,CN,2,47.61,1020,20,98.3,39.8167,6.91
196,Krasnosel'kup,2021-10-22 02:04:53,RU,97,26.51,1001,98,82.4667,65.7,6.33
197,Pimentel,2021-10-22 02:04:53,PE,98,64.36,1016,86,-79.9342,-6.8367,13.44
198,Birjand,2021-10-22 02:04:54,IR,0,42.44,1025,76,59.2211,32.8663,6.98
199,Zhezkazgan,2021-10-22 02:04:54,KZ,88,31.84,1026,62,67.7144,47.8043,11.68
200,Portland,2021-10-22 02:01:51,US,90,59.5,1008,92,-122.6762,45.5234,1.99
201,Bayan,2021-10-22 02:04:55,CN,6,45.54,1025,45,127.4,46.0833,7.9
202,Kharhiāl,2021-10-22 02:04:55,IN,6,74.25,1014,72,82.7667,20.2833,1.16
203,Sokoni,2021-10-22 02:04:55,TZ,88,77.83,1014,72,39.55,-6.4333,9.69
204,Nara,2021-10-22 02:02:02,JP,99,63.25,1015,48,135.8049,34.6851,2.59
205,Ukiah,2021-10-22 02:04:56,US,90,64.44,1014,93,-123.2078,39.1502,9.22
206,Yeppoon,2021-10-22 02:04:57,AU,82,87.58,1014,64,150.7333,-23.1333,12.41
207,Richards Bay,2021-10-22 02:04:57,ZA,100,67.75,1010,84,32.0377,-28.783,16.75
208,Verkh-Usugli,2021-10-22 02:00:32,RU,13,36.57,1025,60,115.1667,52.7,2.53
209,Dvinskoy,2021-10-22 02:04:58,RU,100,39.56,982,100,45.1175,62.1535,5.44
210,Aykhal,2021-10-22 02:04:58,RU,100,25.27,1008,87,111.5,66.0,5.28
211,Sinjai,2021-10-22 02:04:58,ID,18,88.97,1012,55,120.253,-5.1241,6.31
212,Borogontsy,2021-10-22 02:04:59,RU,87,23.52,1003,88,131.1683,62.6683,9.13
213,Juan Lacaze,2021-10-22 02:04:59,UY,0,63.12,1013,77,-57.4381,-34.4342,13.56
214,Saint George,2021-10-22 02:00:36,US,1,69.35,1021,37,-113.5841,37.1041,1.01
215,Korla,2021-10-22 02:05:00,CN,97,54.99,1017,31,86.1469,41.7597,6.33
216,Mnogovershinnyy,2021-10-22 02:05:01,RU,41,32.43,1013,85,139.9242,53.9353,6.89
217,Garden City,2021-10-22 02:03:46,US,90,54.01,1012,89,-83.331,42.3256,1.99
218,Sillod,2021-10-22 02:05:02,IN,11,69.66,1016,60,75.65,20.3,2.91
219,Seoul,2021-10-22 02:00:36,KR,0,59.41,1022,39,126.9778,37.5683,4.72
220,Oistins,2021-10-22 02:05:03,BB,20,82.49,1015,74,-59.5333,13.0667,26.46
221,Sharan,2021-10-22 02:05:04,RU,100,41.94,1003,100,54.0,54.8167,11.18
222,Alberton,2021-10-22 02:05:04,CA,100,51.12,1016,80,-64.0654,46.8168,8.37
223,Key Biscayne,2021-10-22 02:00:42,US,4,82.02,1018,79,-80.1628,25.6937,3.0
224,Nizhniy Kuranakh,2021-10-22 02:05:05,RU,100,38.17,1013,92,125.4869,58.8353,11.54
225,Mossamedes,2021-10-22 02:05:06,AO,45,64.36,1012,71,12.1522,-15.1961,9.6
226,Kermanshah,2021-10-22 02:00:21,IR,0,47.77,1022,58,47.065,34.3142,3.94
227,Aracaju,2021-10-22 02:05:07,BR,40,78.75,1012,94,-37.0717,-10.9111,8.05
228,Mahébourg,2021-10-22 02:05:08,MU,40,74.25,1016,88,57.7,-20.4081,9.22
229,Gemena,2021-10-22 02:05:08,CD,100,69.57,1012,100,19.7667,3.25,1.07
230,Vanino,2021-10-22 02:05:09,RU,97,40.91,1016,51,140.2543,49.0869,3.8
231,Faanui,2021-10-22 02:05:09,PF,2,79.38,1010,74,-151.75,-16.4833,8.32
232,Henties Bay,2021-10-22 02:05:10,NA,0,54.86,1014,90,14.2845,-22.116,1.1
233,Roald,2021-10-22 02:05:10,NO,40,44.91,985,81,6.1333,62.5833,23.02
234,East London,2021-10-22 02:02:34,ZA,100,67.17,1005,85,27.9116,-33.0153,2.21
235,Kavaratti,2021-10-22 02:05:11,IN,100,81.81,1012,78,72.642,10.5669,9.73
